phase,query_id,status,ms
cold,Q0001,OK,2405.6
cold,Q0019,OK,1207.4
cold,Q0037,OK,1345.5
cold,Q0055,OK,807.3
cold,Q0073,OK,972.3
cold,Q0091,OK,875.3
cold,Q0109,OK,954.8
cold,Q0127,OK,981.3
cold,Q0145,OK,831.8
cold,Q0163,OK,1201.5
cold,Q0181,OK,1260.6
cold,Q0199,OK,993.2
cold,Q0217,OK,944.9
cold,P0235,OK,885.8
cold,P0253,OK,970.1
cold,P0271,OK,2298.9
cold,P0289,OK,1096.7
cold,P0307,OK,1067.9
cold,P0325,OK,839.0
cold,P0343,OK,922.4
cold,P0361,OK,884.7
cold,P0379,OK,1012.8
cold,P0397,OK,836.6
cold,H0415,OK,834.9
cold,V0434,OK,1425.3
cold,A0453,OK,953.8
cold,A0471,OK,900.1
cold,A0489,OK,1015.1
cold,A0507,OK,1145.3
cold,A0525,OK,865.7
warm,Q0001,OK,11.183
warm,Q0002,OK,0.205
warm,Q0003,OK,0.162
warm,Q0004,OK,0.147
warm,Q0005,OK,0.139
warm,Q0006,OK,0.137
warm,Q0007,OK,0.138
warm,Q0008,OK,0.131
warm,Q0009,OK,0.131
warm,Q0010,OK,0.398
warm,Q0011,OK,0.239
warm,Q0012,OK,0.161
warm,Q0013,OK,0.147
warm,Q0014,OK,0.136
warm,Q0015,OK,0.143
warm,Q0016,OK,0.194
warm,Q0017,OK,0.142
warm,Q0018,OK,0.14
warm,Q0019,OK,7.883
warm,Q0020,OK,0.189
warm,Q0021,OK,0.156
warm,Q0022,OK,0.137
warm,Q0023,OK,0.158
warm,Q0024,OK,0.13
warm,Q0025,OK,0.137
warm,Q0026,OK,0.151
warm,Q0027,OK,0.15
warm,Q0028,OK,0.131
warm,Q0029,OK,0.15
warm,Q0030,OK,0.176
warm,Q0031,OK,0.17
warm,Q0032,OK,0.168
warm,Q0033,OK,0.195
warm,Q0034,OK,0.209
warm,Q0035,OK,0.153
warm,Q0036,OK,0.147
warm,Q0037,OK,7.624
warm,Q0038,OK,0.214
warm,Q0039,OK,0.175
warm,Q0040,OK,0.149
warm,Q0041,OK,0.138
warm,Q0042,OK,0.139
warm,Q0043,OK,0.186
warm,Q0044,OK,0.155
warm,Q0045,OK,0.179
warm,Q0046,OK,0.132
warm,Q0047,OK,0.132
warm,Q0048,OK,0.126
warm,Q0049,OK,0.124
warm,Q0050,OK,0.123
warm,Q0051,OK,0.128
warm,Q0052,OK,0.155
warm,Q0053,OK,0.123
warm,Q0054,OK,0.123
warm,Q0055,OK,10.471
warm,Q0056,OK,0.213
warm,Q0057,OK,0.172
warm,Q0058,OK,0.151
warm,Q0059,OK,0.151
