attr,container,n,m_individuals,residual,combinations
ER,G08-00601,7,3,4,35
ER,G08-00604,7,3,4,35
ER,G08-00610,7,3,4,35
ER,G08-00613,6,2,4,15
ER,G08-00613,6,3,3,20
ER,G08-00619,7,3,4,35
ER,G08-00628,7,3,4,35
ER,G08-00637,6,2,4,15
ER,G08-00637,6,3,3,20
ER,G08-00646,7,3,4,35
ER,G08-00652,6,2,4,15
ER,G08-00652,6,3,3,20
ER,G08-00670,6,2,4,15
ER,G08-00670,6,3,3,20
ER,G08-00679,7,3,4,35
ER,G08-00685,6,2,4,15
ER,G08-00685,6,3,3,20
ER,G08-00691,6,2,4,15
ER,G08-00691,6,3,3,20
ER,G08-00694,6,2,4,15
ER,G08-00694,6,3,3,20
ER,G08-00697,6,2,4,15
ER,G08-00697,6,3,3,20
ER,G08-00700,6,2,4,15
ER,G08-00700,6,3,3,20
ER,G08-00703,6,2,4,15
ER,G08-00703,6,3,3,20
ER,G08-00706,7,3,4,35
ER,G08-00709,7,3,4,35
ER,G08-00712,6,2,4,15
ER,G08-00712,6,3,3,20
ER,G08-00715,6,2,4,15
ER,G08-00715,6,3,3,20
ER,G08-00718,7,3,4,35
ER,G08-00721,6,2,4,15
ER,G08-00721,6,3,3,20
ER,G08-00724,6,2,4,15
ER,G08-00724,6,3,3,20
ER,G08-00730,7,3,4,35
ER,G08-00733,7,3,4,35
ER,G08-00736,7,3,4,35
ER,G08-00739,7,3,4,35
ER,G08-00742,7,3,4,35
ER,G08-00745,7,3,4,35
ER,G08-00748,6,2,4,15
ER,G08-00748,6,3,3,20
ER,G08-00751,6,2,4,15
ER,G08-00751,6,3,3,20
ER,G08-00754,6,2,4,15
ER,G08-00754,6,3,3,20
ER,G08-00757,7,3,4,35
ER,G08-00760,6,2,4,15
ER,G08-00760,6,3,3,20
ER,G08-00766,6,2,4,15
ER,G08-00766,6,3,3,20
ER,G08-00769,6,2,4,15
ER,G08-00769,6,3,3,20
ER,G08-00772,7,3,4,35
ER,G08-00775,7,3,4,35
ER,G08-00778,7,3,4,35
ER,G08-00781,7,3,4,35
ER,G08-00784,6,2,4,15
ER,G08-00784,6,3,3,20
ER,G08-00787,7,3,4,35
ER,G08-00790,7,3,4,35
ER,G08-00793,6,2,4,15
ER,G08-00793,6,3,3,20
ER,G08-00799,6,2,4,15
ER,G08-00799,6,3,3,20
ER,G08-00802,6,2,4,15
ER,G08-00802,6,3,3,20
ER,G08-00805,6,2,4,15
ER,G08-00805,6,3,3,20
ER,G08-00808,6,2,4,15
ER,G08-00808,6,3,3,20
ER,G08-00811,6,2,4,15
ER,G08-00811,6,3,3,20
ER,G08-00814,7,3,4,35
ER,G08-00817,7,3,4,35
ER,G08-00820,7,3,4,35
ER,G08-00823,6,2,4,15
ER,G08-00823,6,3,3,20
ER,G08-00826,6,2,4,15
ER,G08-00826,6,3,3,20
ER,G08-00829,7,3,4,35
ER,G08-00835,6,2,4,15
ER,G08-00835,6,3,3,20
ER,G08-00838,7,3,4,35
ER,G08-00841,6,2,4,15
ER,G08-00841,6,3,3,20
ER,G08-00844,6,2,4,15
ER,G08-00844,6,3,3,20
ER,G08-00847,7,3,4,35
ER,G08-00850,7,3,4,35
ER,G08-00853,6,2,4,15
ER,G08-00853,6,3,3,20
ER,G08-00856,6,2,4,15
ER,G08-00856,6,3,3,20
ER,G08-00862,6,2,4,15
ER,G08-00862,6,3,3,20
ER,G08-00865,6,2,4,15
ER,G08-00865,6,3,3,20
ER,G08-00868,6,2,4,15
ER,G08-00868,6,3,3,20
ER,G08-00871,6,2,4,15
ER,G08-00871,6,3,3,20
ER,G08-00874,7,3,4,35
ER,G08-00877,7,3,4,35
ER,G08-00880,6,2,4,15
ER,G08-00880,6,3,3,20
ER,G08-00883,6,2,4,15
ER,G08-00883,6,3,3,20
ER,G08-00886,7,3,4,35
ER,G08-00889,6,2,4,15
ER,G08-00889,6,3,3,20
ER,G08-00892,7,3,4,35
ER,G08-00895,6,2,4,15
ER,G08-00895,6,3,3,20
ER,G08-00898,6,2,4,15
ER,G08-00898,6,3,3,20
ER,G08-00901,6,2,4,15
ER,G08-00901,6,3,3,20
ER,G08-00907,6,2,4,15
ER,G08-00907,6,3,3,20
ER,G08-00910,7,3,4,35
ER,G08-00913,6,2,4,15
ER,G08-00913,6,3,3,20
ER,G08-00916,6,2,4,15
ER,G08-00916,6,3,3,20
ER,G08-00919,7,3,4,35
