matrix,persona,cond,attr,target,action,rule
A,본인,n>=k,PB,G09-00599,withhold,R3
A,본인,n<k,PB,G09-00659,withhold,R3
A,본인,차분쌍,ER,G08-00980->G08-00661,withhold,R3
A,동료,n>=k,PB,G09-00599,withhold,R3
A,동료,n<k,PB,G09-00659,withhold,R3
A,동료,차분쌍,ER,G08-00980->G08-00661,withhold,R3
A,H_HR,n>=k,PB,G09-00599,release,R3
A,H_HR,n<k,PB,G09-00659,release,R1skip
A,H_HR,차분쌍,ER,G08-00980->G08-00661,release,R1skip
B,B_BR,n>=k,LN,G05-00083,release,R3
B,B_BR,n<k(익명극값),LN,G05-02596,release,R1skip
B,B_BR,join쌍,LN×CP,G05-02596->G02-02597,release,R3
B,B_RHQ,n>=k,LN,G05-00083,release,R3
B,B_RHQ,n<k(익명극값),LN,G05-02596,withhold,R1
B,B_RHQ,join쌍,LN×CP,G05-02596->G02-02597,withhold,R3
B,F_CMP,n>=k,LN,G05-00083,release,R3
B,F_CMP,n<k(익명극값),LN,G05-02596,release,R1skip
B,F_CMP,join쌍,LN×CP,G05-02596->G02-02597,release,R3
