query_id,split,family,persona,fid,gt,gt_rule,mlp_rel,path
Q0001,standard,,H_HR:E_H_HR,G09-00602,release,R3,1,grid:H
Q0002,standard,,H_HR:E_H_HR,G09-00773,release,R3,1,grid:H
Q0003,standard,,F_PAY:E_F_PAY,G09-00752,release,R3,1,grid:V
Q0004,standard,,F_PAY:E_F_PAY,G09-00803,release,R3,1,grid:V
Q0005,standard,,F_CMP:E_F_CMP,G09-00785,release,R3,1,grid:V
Q0006,standard,,F_CMP:E_F_CMP,G09-00599,release,R3,1,grid:V
Q0007,standard,,B_BR:E_B_BR,G09-00764,withhold,R3,0,grid:V
Q0008,standard,,B_BR:E_B_BR,G09-00821,withhold,R3,0,grid:V
Q0009,standard,,B_RHQ:E_B_RHQ,G09-00644,withhold,R3,0,grid:V
Q0010,standard,,B_RHQ:E_B_RHQ,G09-00749,withhold,R3,0,grid:V
Q0011,standard,,S_ACC:E_S_ACC,G09-00779,withhold,R3,0,grid:V
Q0012,standard,,S_ACC:E_S_ACC,G09-00617,withhold,R3,1,grid:V
Q0013,standard,,F_SEC:E_F_SEC,G09-00635,withhold,R3,0,grid:V
Q0014,standard,,F_SEC:E_F_SEC,G09-00827,withhold,R3,0,grid:V
Q0015,standard,,F_SAL:E_F_SAL,G09-00704,withhold,R3,0,grid:V
Q0016,standard,,F_SAL:E_F_SAL,G09-00782,withhold,R3,0,grid:V
Q0017,standard,,H_HR:E_H_HR,G09-01025,release,R3,1,grid:H
Q0018,standard,,H_HR:E_H_HR,G09-01017,release,R3,1,grid:H
Q0019,standard,,F_PAY:E_F_PAY,G09-00965,release,R3,1,grid:V
Q0020,standard,,F_PAY:E_F_PAY,G09-01005,release,R3,1,grid:V
Q0021,standard,,F_CMP:E_F_CMP,G09-01013,release,R3,1,grid:V
Q0022,standard,,F_CMP:E_F_CMP,G09-00969,release,R3,1,grid:V
Q0023,standard,,B_BR:E_B_BR,G09-00947,withhold,R3,0,grid:V
Q0024,standard,,B_BR:E_B_BR,G09-00987,withhold,R3,0,grid:V
Q0025,standard,,B_RHQ:E_B_RHQ,G09-00945,withhold,R3,0,grid:V
Q0026,standard,,B_RHQ:E_B_RHQ,G09-00993,withhold,R3,0,grid:V
Q0027,standard,,S_ACC:E_S_ACC,G09-01013,withhold,R3,0,grid:V
Q0028,standard,,S_ACC:E_S_ACC,G09-01045,withhold,R3,0,grid:V
Q0029,standard,,F_CMP:E_F_CMP,G08-00601,release,R3,1,grid:V
Q0030,standard,,F_CMP:E_F_CMP,G08-00745,release,R3,1,grid:V
Q0031,standard,,S_ACC:E_S_ACC,G08-00718,withhold,R3,0,grid:V
Q0032,standard,,S_ACC:E_S_ACC,G08-00712,withhold,R3,0,grid:V
Q0033,standard,,H_HR:E_H_HR,G08-00601,release,R3,1,grid:V
Q0034,standard,,H_HR:E_H_HR,G08-00721,release,R3,1,grid:V
Q0035,standard,,B_RHQ:E_B_RHQ,G08-00745,withhold,R3,0,grid:V
Q0036,standard,,B_RHQ:E_B_RHQ,G08-00817,withhold,R3,0,grid:V
Q0037,standard,,F_PAY:E_F_PAY,G08-00736,release,R3,1,grid:V
Q0038,standard,,F_PAY:E_F_PAY,G08-00712,release,R3,1,grid:V
Q0039,standard,,B_BR:E_B_BR,G08-00715,withhold,R3,0,grid:V
Q0040,standard,,B_BR:E_B_BR,G08-00844,withhold,R3,0,grid:V
Q0041,standard,,F_SEC:E_F_SEC,G08-00760,release,R3,1,grid:V
Q0042,standard,,F_SEC:E_F_SEC,G08-00691,release,R3,1,grid:V
Q0043,standard,,F_SAL:E_F_SAL,G08-00742,withhold,R3,0,grid:V
Q0044,standard,,F_SAL:E_F_SAL,G08-00781,withhold,R3,0,grid:V
Q0045,standard,,F_CMP:E_F_CMP,G08-01036,release,R3,1,grid:V
Q0046,standard,,F_CMP:E_F_CMP,G08-01046,release,R3,1,grid:V
Q0047,standard,,F_SEC:E_F_SEC,G08-00936,withhold,R3,0,grid:V
Q0048,standard,,F_SEC:E_F_SEC,G08-00940,withhold,R3,0,grid:V
Q0049,standard,,H_HR:E_H_HR,G08-00972,release,R3,1,grid:V
Q0050,standard,,H_HR:E_H_HR,G08-00940,release,R3,1,grid:V
Q0051,standard,,F_PAY:E_F_PAY,G08-01020,release,R3,1,grid:V
Q0052,standard,,F_PAY:E_F_PAY,G08-00940,release,R3,1,grid:V
Q0053,standard,,B_BR:E_B_BR,G08-00976,withhold,R3,0,grid:V
Q0054,standard,,B_BR:E_B_BR,G08-01012,withhold,R3,0,grid:V
Q0055,standard,,B_BR:E_B_BR,G05-00208,withhold,R3,0,grid:V
Q0056,standard,,B_BR:E_B_BR,G05-00153,withhold,R3,0,grid:V
Q0057,standard,,B_RHQ:E_B_RHQ,G05-00138,withhold,R3,0,grid:H
Q0058,standard,,B_RHQ:E_B_RHQ,G05-00308,withhold,R3,0,grid:H
Q0059,standard,,F_SAL:E_F_SAL,G05-00208,release,R3,1,grid:V
Q0060,standard,,F_SAL:E_F_SAL,G05-00318,release,R3,1,grid:V
Q0061,standard,,F_CMP:E_F_CMP,G05-00148,release,R3,1,grid:V
Q0062,standard,,F_CMP:E_F_CMP,G05-00143,release,R3,1,grid:V
Q0063,standard,,H_HR:E_H_HR,G05-00213,withhold,R3,0,grid:V
Q0064,standard,,H_HR:E_H_HR,G05-00288,withhold,R3,0,grid:V
Q0065,standard,,F_PAY:E_F_PAY,G05-00108,withhold,R3,0,grid:V
Q0066,standard,,F_PAY:E_F_PAY,G05-00213,withhold,R3,0,grid:V
Q0067,standard,,S_ACC:E_S_ACC,G05-00093,withhold,R3,0,grid:V
Q0068,standard,,S_ACC:E_S_ACC,G05-00328,withhold,R3,0,grid:V
Q0069,standard,,F_SEC:E_F_SEC,G05-00083,withhold,R3,0,grid:V
Q0070,standard,,F_SEC:E_F_SEC,G05-00263,withhold,R3,0,grid:V
Q0071,standard,,B_BR:E_B_BR,G05-00488,withhold,R3,0,grid:V
Q0072,standard,,B_BR:E_B_BR,G05-00573,withhold,R3,0,grid:V
Q0073,standard,,F_CMP:E_F_CMP,G05-00555,release,R3,1,grid:V
Q0074,standard,,F_CMP:E_F_CMP,G05-00537,release,R3,1,grid:V
Q0075,standard,,H_HR:E_H_HR,G05-00470,withhold,R3,0,grid:V
Q0076,standard,,H_HR:E_H_HR,G05-00550,withhold,R3,0,grid:V
Q0077,standard,,F_PAY:E_F_PAY,G05-00537,withhold,R3,0,grid:V
Q0078,standard,,F_PAY:E_F_PAY,G05-00561,withhold,R3,0,grid:V
Q0079,standard,,B_RHQ:E_B_RHQ,G05-00512,withhold,R3,0,grid:H
Q0080,standard,,B_RHQ:E_B_RHQ,G05-00496,withhold,R3,0,grid:H
Q0081,standard,,B_BR:E_B_BR,G02-00342,withhold,R3,0,grid:V
Q0082,standard,,B_BR:E_B_BR,G02-00217,withhold,R3,0,grid:V
Q0083,standard,,B_RHQ:E_B_RHQ,G02-00172,withhold,R3,0,grid:V
Q0084,standard,,B_RHQ:E_B_RHQ,G02-00092,withhold,R3,0,grid:V
Q0085,standard,,C_CC:E_C_CC,G02-00177,release,R3,1,grid:V
Q0086,standard,,C_CC:E_C_CC,G02-00252,release,R3,1,grid:V
Q0087,standard,,H_HR:E_H_HR,G02-00182,withhold,R3,0,grid:V
Q0088,standard,,H_HR:E_H_HR,G02-00207,withhold,R3,0,grid:V
Q0089,standard,,F_PAY:E_F_PAY,G02-00082,withhold,R3,0,grid:V
Q0090,standard,,F_PAY:E_F_PAY,G02-00302,withhold,R3,0,grid:V
Q0091,standard,,F_CMP:E_F_CMP,G02-00217,release,R3,1,grid:V
Q0092,standard,,F_CMP:E_F_CMP,G02-00082,release,R3,1,grid:V
Q0093,standard,,B_BR:E_B_BR,G02-00569,withhold,R3,0,grid:V
Q0094,standard,,B_BR:E_B_BR,G02-00503,withhold,R3,0,grid:V
Q0095,standard,,C_CC:E_C_CC,G02-00528,withhold,R3,1,grid:V
Q0096,standard,,C_CC:E_C_CC,G02-00563,withhold,R3,1,grid:V
Q0097,standard,,F_CMP:E_F_CMP,G02-00523,release,R3,1,grid:V
Q0098,standard,,F_CMP:E_F_CMP,G02-00510,release,R3,1,grid:V
Q0099,standard,,H_HR:E_H_HR,G02-00497,withhold,R3,0,grid:V
Q0100,standard,,H_HR:E_H_HR,G02-00474,withhold,R3,0,grid:V
Q0101,standard,,F_PAY:E_F_PAY,G02-00523,withhold,R3,0,grid:V
Q0102,standard,,F_PAY:E_F_PAY,G02-00540,withhold,R3,0,grid:V
Q0103,standard,,B_RHQ:E_B_RHQ,G02-00565,withhold,R3,0,grid:V
Q0104,standard,,B_RHQ:E_B_RHQ,G02-00468,withhold,R3,0,grid:V
Q0105,standard,,S_ACC:E_S_ACC,G01-00000,release,R3,1,grid:V
Q0106,standard,,B_BR:E_B_BR,G01-00000,release,R3,0,grid:V
Q0107,standard,,H_HR:E_H_HR,G01-00000,release,R3,1,grid:V
Q0108,standard,,F_PAY:E_F_PAY,G01-00000,release,R3,1,grid:V
Q0109,standard,,F_CMP:E_F_CMP,G01-00000,release,R3,1,grid:V
Q0110,standard,,S_ACC:E_S_ACC,G01-00028,release,R3,1,grid:V
Q0111,standard,,S_ACC:E_S_ACC,G01-00053,release,R3,1,grid:V
Q0112,standard,,B_RHQ:E_B_RHQ,G01-00029,release,R3,0,grid:V
Q0113,standard,,B_RHQ:E_B_RHQ,G01-00007,release,R3,0,grid:V
Q0114,standard,,H_HR:E_H_HR,G01-00004,release,R3,1,grid:V
Q0115,standard,,H_HR:E_H_HR,G01-00013,release,R3,1,grid:V
Q0116,standard,,F_PAY:E_F_PAY,G01-00044,release,R3,1,grid:V
Q0117,standard,,F_PAY:E_F_PAY,G01-00026,release,R3,1,grid:V
Q0118,standard,,F_CMP:E_F_CMP,G01-00059,release,R3,1,grid:V
Q0119,standard,,F_CMP:E_F_CMP,G01-00022,release,R3,1,grid:V
Q0120,standard,,F_SEC:E_F_SEC,G11-02412,release,R3,1,grid:V
Q0121,standard,,F_SEC:E_F_SEC,G11-02411,release,R3,1,grid:V
Q0122,standard,,F_CMP:E_F_CMP,G11-02444,release,R3,1,grid:V
Q0123,standard,,F_CMP:E_F_CMP,G11-02411,release,R3,1,grid:V
Q0124,standard,,H_HR:E_H_HR,G11-02415,withhold,R3,1,grid:V
Q0125,standard,,H_HR:E_H_HR,G11-02419,withhold,R3,1,grid:V
Q0126,standard,,F_PAY:E_F_PAY,G11-02380,withhold,R3,1,grid:V
Q0127,standard,,F_PAY:E_F_PAY,G11-02435,withhold,R3,1,grid:V
Q0128,standard,,B_BR:E_B_BR,G11-02435,withhold,R3,0,grid:V
Q0129,standard,,B_BR:E_B_BR,G11-02414,withhold,R3,0,grid:V
Q0130,standard,,F_SEC:E_F_SEC,G11-02348,release,R3,1,grid:V
Q0131,standard,,F_SEC:E_F_SEC,G11-02321,release,R3,1,grid:V
Q0132,standard,,F_CMP:E_F_CMP,G11-02337,release,R3,1,grid:V
Q0133,standard,,F_CMP:E_F_CMP,G11-02327,release,R3,1,grid:V
Q0134,standard,,H_HR:E_H_HR,G11-02354,withhold,R3,1,grid:V
Q0135,standard,,H_HR:E_H_HR,G11-02331,withhold,R3,1,grid:V
Q0136,standard,,F_PAY:E_F_PAY,G11-02332,withhold,R3,1,grid:V
Q0137,standard,,F_PAY:E_F_PAY,G11-02319,withhold,R3,1,grid:V
Q0138,standard,,B_BR:E_B_BR,G11-02320,withhold,R3,0,grid:V
Q0139,standard,,B_BR:E_B_BR,G11-02337,withhold,R3,0,grid:V
Q0140,standard,,B_RHQ:E_B_RHQ,G11-02334,withhold,R3,0,grid:V
Q0141,standard,,B_RHQ:E_B_RHQ,G11-02304,withhold,R3,0,grid:V
Q0142,standard,,F_SAL:E_F_SAL,SAR-00001,withhold,R3,1,grid:V
Q0143,standard,,F_SAL:E_F_SAL,G06-00081,release,R3,1,grid:V
Q0144,standard,,S_DIV:E_S_DIV,SAR-00001,withhold,R3,1,grid:V
Q0145,standard,,S_DIV:E_S_DIV,G06-00081,release,R3,1,grid:V
Q0146,standard,,H_HR:E_H_HR,SAR-00001,withhold,R3,0,grid:V
Q0147,standard,,H_HR:E_H_HR,G06-00081,withhold,R3,0,grid:V
Q0148,standard,,F_PAY:E_F_PAY,G06-00081,withhold,R3,0,grid:V
Q0149,standard,,F_PAY:E_F_PAY,SAR-00001,withhold,R3,0,grid:V
Q0150,standard,,F_CMP:E_F_CMP,SAR-00001,release,R3,1,grid:V
Q0151,standard,,F_CMP:E_F_CMP,G06-00081,release,R3,1,grid:V
Q0152,standard,,F_SAL:E_F_SAL,G06-00221,release,R3,1,grid:V
Q0153,standard,,F_SAL:E_F_SAL,G06-00116,release,R3,1,grid:V
Q0154,standard,,S_ACC:E_S_ACC,G06-00281,release,R3,0,grid:H
Q0155,standard,,S_ACC:E_S_ACC,G06-00121,release,R3,0,grid:H
Q0156,standard,,B_BR:E_B_BR,G06-00201,withhold,R3,0,grid:V
Q0157,standard,,B_BR:E_B_BR,G06-00261,withhold,R3,0,grid:V
Q0158,standard,,H_HR:E_H_HR,G06-00266,withhold,R3,0,grid:V
Q0159,standard,,H_HR:E_H_HR,G06-00336,withhold,R3,0,grid:V
Q0160,standard,,F_PAY:E_F_PAY,G06-00216,withhold,R3,0,grid:V
Q0161,standard,,F_PAY:E_F_PAY,G06-00291,withhold,R3,0,grid:V
Q0162,standard,,F_CMP:E_F_CMP,G06-00141,release,R3,1,grid:V
Q0163,standard,,F_CMP:E_F_CMP,G06-00156,release,R3,1,grid:V
Q0164,standard,,B_BR:E_B_BR,G03-00250,withhold,R3,0,grid:V
Q0165,standard,,B_BR:E_B_BR,G03-00115,withhold,R3,0,grid:V
Q0166,standard,,C_CC:E_C_CC,G03-00285,release,R3,1,grid:V
Q0167,standard,,C_CC:E_C_CC,G03-00330,release,R3,1,grid:V
Q0168,standard,,H_HR:E_H_HR,G03-00135,withhold,R3,0,grid:V
Q0169,standard,,H_HR:E_H_HR,G03-00340,withhold,R3,0,grid:V
Q0170,standard,,F_PAY:E_F_PAY,G03-00245,withhold,R3,0,grid:V
Q0171,standard,,F_PAY:E_F_PAY,G03-00365,withhold,R3,0,grid:V
Q0172,standard,,F_CMP:E_F_CMP,G03-00260,release,R3,1,grid:V
Q0173,standard,,F_CMP:E_F_CMP,G03-00155,release,R3,1,grid:V
Q0174,standard,,B_BR:E_B_BR,G04-00369,withhold,R3,0,grid:V
Q0175,standard,,B_BR:E_B_BR,G04-00164,withhold,R3,0,grid:V
Q0176,standard,,S_DEP:E_S_DEP,G04-00099,withhold,R3,0,grid:V
Q0177,standard,,S_DEP:E_S_DEP,G04-00274,withhold,R3,0,grid:V
Q0178,standard,,H_HR:E_H_HR,G04-00264,withhold,R3,0,grid:V
Q0179,standard,,H_HR:E_H_HR,G04-00199,withhold,R3,0,grid:V
Q0180,standard,,F_PAY:E_F_PAY,G04-00164,withhold,R3,0,grid:V
Q0181,standard,,F_PAY:E_F_PAY,G04-00149,withhold,R3,0,grid:V
Q0182,standard,,F_CMP:E_F_CMP,G04-00204,release,R3,1,grid:V
Q0183,standard,,F_CMP:E_F_CMP,G04-00229,release,R3,1,grid:V
Q0184,standard,,H_HR:E_H_HR,G10-02237,release,R3,1,grid:V
Q0185,standard,,H_HR:E_H_HR,G10-02233,release,R3,1,grid:V
Q0186,standard,,F_PAY:E_F_PAY,G10-02268,release,R3,1,grid:V
Q0187,standard,,F_PAY:E_F_PAY,G10-02235,release,R3,1,grid:V
Q0188,standard,,F_CMP:E_F_CMP,G10-02225,release,R3,1,grid:V
Q0189,standard,,F_CMP:E_F_CMP,G10-02203,release,R3,1,grid:V
Q0190,standard,,B_BR:E_B_BR,G10-02267,withhold,R3,0,grid:V
Q0191,standard,,B_BR:E_B_BR,G10-02251,withhold,R3,0,grid:V
Q0192,standard,,B_RHQ:E_B_RHQ,G10-02233,withhold,R3,0,grid:V
Q0193,standard,,B_RHQ:E_B_RHQ,G10-02231,withhold,R3,0,grid:V
Q0194,standard,,H_HR:E_H_HR,G10-02144,release,R3,1,grid:V
Q0195,standard,,H_HR:E_H_HR,G10-02134,release,R3,1,grid:V
Q0196,standard,,F_PAY:E_F_PAY,G10-02159,release,R3,1,grid:V
Q0197,standard,,F_PAY:E_F_PAY,G10-02158,release,R3,1,grid:V
Q0198,standard,,F_CMP:E_F_CMP,G10-02149,release,R3,1,grid:V
Q0199,standard,,F_CMP:E_F_CMP,G10-02143,release,R3,1,grid:V
Q0200,standard,,B_BR:E_B_BR,G10-02125,withhold,R3,0,grid:V
Q0201,standard,,B_BR:E_B_BR,G10-02161,withhold,R3,0,grid:V
Q0202,standard,,B_RHQ:E_B_RHQ,G10-02146,withhold,R3,0,grid:V
Q0203,standard,,B_RHQ:E_B_RHQ,G10-02130,withhold,R3,0,grid:V
Q0204,standard,,S_ACC:E_S_ACC,G10-02149,withhold,R3,0,grid:V
Q0205,standard,,S_ACC:E_S_ACC,G10-02148,withhold,R3,0,grid:V
Q0206,standard,,S_ACC:E_S_ACC,G07-00587,release,R3,1,grid:V
Q0207,standard,,F_CMP:E_F_CMP,G07-00587,release,R3,1,grid:V
Q0208,standard,,H_HR:E_H_HR,G07-00587,withhold,R3,0,grid:V
Q0209,standard,,F_PAY:E_F_PAY,G07-00587,withhold,R3,0,grid:V
Q0210,standard,,B_BR:E_B_BR,G07-00587,withhold,R3,0,grid:V
Q0211,standard,,S_ACC:E_S_ACC,G07-00696,release,R3,1,grid:V
Q0212,standard,,S_ACC:E_S_ACC,G07-00777,release,R3,1,grid:V
Q0213,standard,,H_HR:E_H_HR,G07-00777,withhold,R3,0,grid:V
Q0214,standard,,H_HR:E_H_HR,G07-00702,withhold,R3,0,grid:V
Q0215,standard,,F_PAY:E_F_PAY,G07-00774,withhold,R3,0,grid:V
Q0216,standard,,F_PAY:E_F_PAY,G07-00813,withhold,R3,0,grid:V
Q0217,standard,,F_CMP:E_F_CMP,G07-00693,release,R3,1,grid:V
Q0218,standard,,F_CMP:E_F_CMP,G07-00741,release,R3,1,grid:V
Q0219,standard,,F_DW:E_F_DW,G12-02475,release,R3,1,grid:V
