query_id,family,persona,turn,pair_id,fid,k,gt,pdp_rel,pdp_dec,flagged,verrs,obligations,off_rel,menu_rel,r3only_rel
A0439,F1,S_ACC:E_S_ACC,0,,G09-00935,5,withhold,0,DENY,1,0,,1,1,0
A0440,F1,B_RHQ:E_B_RHQ,0,,G05-00470,5,withhold,0,DENY,1,0,,1,1,0
A0441,F1,C_CC:E_C_CC,0,,G11-02300,5,withhold,0,DENY,1,0,,1,0,0
A0442,F1,S_DEP:E_S_DEP,0,,G11-02300,5,withhold,0,DENY,1,0,,1,0,0
A0443,F1,C_CC:E_C_CC,0,,G09-00935,5,withhold,0,DENY,1,0,,1,1,0
A0444,F1,F_DW:E_F_DW,0,,G05-00083,5,withhold,0,DENY,1,0,,1,0,0
A0445,F1,H_HRO:E_H_HRO,0,,G09-00935,5,withhold,0,DENY,1,0,,1,1,0
A0446,F1,S_ACC:E_S_ACC,0,,G02-00467,5,withhold,0,DENY,1,0,,1,0,0
A0447,F1,B_RHQ:E_B_RHQ,0,,G02-00467,5,withhold,0,DENY,1,0,,1,1,0
A0448,F1,F_DW:E_F_DW,0,,G09-00935,5,withhold,0,DENY,1,0,,1,1,0
A0449,F1,F_SAL:E_F_SAL,0,,G05-00470,5,withhold,0,DENY,1,0,,1,1,0
A0450,F1,F_PAY:E_F_PAY,0,,G05-00470,5,withhold,0,DENY,1,0,,1,0,0
A0451,F1,S_DIV:E_S_DIV,0,,G11-02300,5,withhold,0,DENY,1,0,,1,0,0
A0452,F1,H_GRP:E_H_GRP,0,,G02-00467,5,withhold,0,DENY,1,0,,1,0,0
A0453,F1,F_SEC:E_F_SEC,0,,G05-00470,5,withhold,0,DENY,1,0,,1,0,0
A0454,F1,C_CC:E_C_CC,0,,G04-00084,5,withhold,0,DENY,1,0,,1,0,0
A0455,F1,S_DEP:E_S_DEP,0,,G02-00467,5,withhold,0,DENY,1,0,,1,0,0
A0456,F1,F_DW:E_F_DW,0,,G11-02300,5,withhold,0,DENY,1,0,,1,0,0
A0457,F1,H_HRO:E_H_HRO,0,,G11-02300,5,withhold,0,DENY,1,0,,1,0,0
A0458,F1,F_PAY:E_F_PAY,0,,G04-00084,5,withhold,0,DENY,1,0,,1,0,0
A0459,F2,S_ACC:E_S_ACC,0,,G09-00935,5,withhold,0,DENY,1,0,,1,1,0
A0460,F2,B_RHQ:E_B_RHQ,0,,G05-00470,5,withhold,0,DENY,1,0,,1,1,0
A0461,F2,C_CC:E_C_CC,0,,G11-02300,5,withhold,0,DENY,1,0,,1,0,0
A0462,F2,S_DEP:E_S_DEP,0,,G11-02300,5,withhold,0,DENY,1,0,,1,0,0
A0463,F2,C_CC:E_C_CC,0,,G09-00935,5,withhold,0,DENY,1,0,,1,1,0
A0464,F2,F_DW:E_F_DW,0,,G05-00083,5,withhold,0,DENY,1,0,,1,0,0
A0465,F2,H_HRO:E_H_HRO,0,,G09-00935,5,withhold,0,DENY,1,0,,1,1,0
A0466,F2,S_ACC:E_S_ACC,0,,G02-00467,5,withhold,0,DENY,1,0,,1,0,0
A0467,F2,B_RHQ:E_B_RHQ,0,,G02-00467,5,withhold,0,DENY,1,0,,1,1,0
A0468,F2,F_DW:E_F_DW,0,,G09-00935,5,withhold,0,DENY,1,0,,1,1,0
A0469,F2,F_SAL:E_F_SAL,0,,G05-00470,5,withhold,0,DENY,1,0,,1,1,0
A0470,F2,F_PAY:E_F_PAY,0,,G05-00470,5,withhold,0,DENY,1,0,,1,0,0
