policy,k,release,escalate,deny,release_rate,review_rate,leak,leak_rate,over_silent,over_escal,over_rate
P0,2,294,0,265,0.5259,0.0,6,0.0221,0,0,0.0
P1,2,294,0,265,0.5259,0.0,6,0.0221,0,0,0.0
P2,2,292,2,265,0.5224,0.0036,6,0.0221,0,2,0.0069
P3,2,292,2,265,0.5224,0.0036,6,0.0221,0,2,0.0069
P4,2,212,82,265,0.3792,0.1467,6,0.0221,0,82,0.2847
P5,2,178,116,265,0.3184,0.2075,6,0.0221,0,116,0.4028
P0,3,288,0,271,0.5152,0.0,0,0.0,0,0,0.0
P1,3,288,0,271,0.5152,0.0,0,0.0,0,0,0.0
P2,3,286,2,271,0.5116,0.0036,0,0.0,0,2,0.0069
P3,3,286,2,271,0.5116,0.0036,0,0.0,0,2,0.0069
P4,3,206,82,271,0.3685,0.1467,0,0.0,0,82,0.2847
P5,3,172,116,271,0.3077,0.2075,0,0.0,0,116,0.4028
P0,5,288,0,271,0.5152,0.0,0,0.0,0,0,0.0
P1,5,288,0,271,0.5152,0.0,0,0.0,0,0,0.0
P2,5,286,2,271,0.5116,0.0036,0,0.0,0,2,0.0069
P3,5,286,2,271,0.5116,0.0036,0,0.0,0,2,0.0069
P4,5,206,82,271,0.3685,0.1467,0,0.0,0,82,0.2847
P5,5,171,117,271,0.3059,0.2093,0,0.0,0,117,0.4062
P0,10,264,0,295,0.4723,0.0,0,0.0,24,0,0.0833
P1,10,264,0,295,0.4723,0.0,0,0.0,24,0,0.0833
P2,10,262,2,295,0.4687,0.0036,0,0.0,24,2,0.0903
P3,10,262,2,295,0.4687,0.0036,0,0.0,24,2,0.0903
P4,10,182,82,295,0.3256,0.1467,0,0.0,24,82,0.3681
P5,10,63,201,295,0.1127,0.3596,0,0.0,24,201,0.7812
P0,20,264,0,295,0.4723,0.0,0,0.0,24,0,0.0833
P1,20,264,0,295,0.4723,0.0,0,0.0,24,0,0.0833
P2,20,262,2,295,0.4687,0.0036,0,0.0,24,2,0.0903
P3,20,262,2,295,0.4687,0.0036,0,0.0,24,2,0.0903
P4,20,182,82,295,0.3256,0.1467,0,0.0,24,82,0.3681
P5,20,62,202,295,0.1109,0.3614,0,0.0,24,202,0.7847
