policy,k,release,escalate,deny,release_rate,review_rate,leak,leak_rate,over_silent,over_escal,over_rate
P0,2,260,0,299,0.4651,0.0,6,0.0221,34,0,0.1181
P1,2,260,0,299,0.4651,0.0,6,0.0221,34,0,0.1181
P2,2,259,1,299,0.4633,0.0018,6,0.0221,34,1,0.1215
P3,2,259,1,299,0.4633,0.0018,6,0.0221,34,1,0.1215
P4,2,210,50,299,0.3757,0.0894,6,0.0221,34,50,0.2917
P5,2,178,82,299,0.3184,0.1467,6,0.0221,34,82,0.4028
P0,3,254,0,305,0.4544,0.0,0,0.0,34,0,0.1181
P1,3,254,0,305,0.4544,0.0,0,0.0,34,0,0.1181
P2,3,253,1,305,0.4526,0.0018,0,0.0,34,1,0.1215
P3,3,253,1,305,0.4526,0.0018,0,0.0,34,1,0.1215
P4,3,204,50,305,0.3649,0.0894,0,0.0,34,50,0.2917
P5,3,172,82,305,0.3077,0.1467,0,0.0,34,82,0.4028
P0,5,254,0,305,0.4544,0.0,0,0.0,34,0,0.1181
P1,5,254,0,305,0.4544,0.0,0,0.0,34,0,0.1181
P2,5,253,1,305,0.4526,0.0018,0,0.0,34,1,0.1215
P3,5,253,1,305,0.4526,0.0018,0,0.0,34,1,0.1215
P4,5,204,50,305,0.3649,0.0894,0,0.0,34,50,0.2917
P5,5,171,83,305,0.3059,0.1485,0,0.0,34,83,0.4062
P0,10,230,0,329,0.4114,0.0,0,0.0,58,0,0.2014
P1,10,230,0,329,0.4114,0.0,0,0.0,58,0,0.2014
P2,10,229,1,329,0.4097,0.0018,0,0.0,58,1,0.2049
P3,10,229,1,329,0.4097,0.0018,0,0.0,58,1,0.2049
P4,10,180,50,329,0.322,0.0894,0,0.0,58,50,0.375
P5,10,63,167,329,0.1127,0.2987,0,0.0,58,167,0.7812
P0,20,230,0,329,0.4114,0.0,0,0.0,58,0,0.2014
P1,20,230,0,329,0.4114,0.0,0,0.0,58,0,0.2014
P2,20,229,1,329,0.4097,0.0018,0,0.0,58,1,0.2049
P3,20,229,1,329,0.4097,0.0018,0,0.0,58,1,0.2049
P4,20,180,50,329,0.322,0.0894,0,0.0,58,50,0.375
P5,20,62,168,329,0.1109,0.3005,0,0.0,58,168,0.7847
