coords,k,policy,review_n,review_pct,leak_after_route
gt,2,P0,0,0.0,6
gt,2,P1,0,0.0,6
gt,2,P2,0,0.0,6
gt,2,P3,0,0.0,6
gt,2,P4,82,14.7,6
gt,2,P5,116,20.8,6
gt,3,P0,0,0.0,0
gt,3,P1,0,0.0,0
gt,3,P2,0,0.0,0
gt,3,P3,0,0.0,0
gt,3,P4,82,14.7,0
gt,3,P5,116,20.8,0
gt,5,P0,0,0.0,0
gt,5,P1,0,0.0,0
gt,5,P2,0,0.0,0
gt,5,P3,0,0.0,0
gt,5,P4,82,14.7,0
gt,5,P5,117,20.9,0
gt,10,P0,0,0.0,0
gt,10,P1,0,0.0,0
gt,10,P2,0,0.0,0
gt,10,P3,0,0.0,0
gt,10,P4,82,14.7,0
gt,10,P5,201,36.0,0
gt,20,P0,0,0.0,0
gt,20,P1,0,0.0,0
gt,20,P2,0,0.0,0
gt,20,P3,0,0.0,0
gt,20,P4,82,14.7,0
gt,20,P5,202,36.1,0
parser,2,P0,0,0.0,6
parser,2,P1,0,0.0,6
parser,2,P2,0,0.0,6
parser,2,P3,0,0.0,6
parser,2,P4,50,8.9,6
parser,2,P5,82,14.7,6
parser,3,P0,0,0.0,0
parser,3,P1,0,0.0,0
parser,3,P2,0,0.0,0
parser,3,P3,0,0.0,0
parser,3,P4,50,8.9,0
parser,3,P5,82,14.7,0
parser,5,P0,0,0.0,0
parser,5,P1,0,0.0,0
parser,5,P2,0,0.0,0
parser,5,P3,0,0.0,0
parser,5,P4,50,8.9,0
parser,5,P5,83,14.8,0
parser,10,P0,0,0.0,0
parser,10,P1,0,0.0,0
parser,10,P2,0,0.0,0
parser,10,P3,0,0.0,0
parser,10,P4,50,8.9,0
parser,10,P5,167,29.9,0
parser,20,P0,0,0.0,0
parser,20,P1,0,0.0,0
parser,20,P2,0,0.0,0
parser,20,P3,0,0.0,0
parser,20,P4,50,8.9,0
parser,20,P5,168,30.1,0
