query_id,split,family,persona,coords,arm,attr_used,treq_used,k,ledger,fid,released,gt_action,leak,over,rule,reason,canary_ref,gt_peritem_tier
A0548,adversarial,F7-diff-R1,F_SEC:E_F_SEC,gt,ungoverned,ER,2,5,G08-00980,G08-00661,1,withhold,1,0,-,no-governance,,2
A0548,adversarial,F7-diff-R1,F_SEC:E_F_SEC,gt,menu,ER,2,5,G08-00980,G08-00661,1,withhold,1,0,menu,template-level,,2
A0548,adversarial,F7-diff-R1,F_SEC:E_F_SEC,gt,abac_perm,ER,2,5,G08-00980,G08-00661,1,withhold,1,0,abac_perm,cell-open(≤2) tier-blind,,2
A0548,adversarial,F7-diff-R1,F_SEC:E_F_SEC,gt,abac_restr,ER,2,5,G08-00980,G08-00661,1,withhold,1,0,abac_restr,tier 2<=max 2,,2
A0548,adversarial,F7-diff-R1,F_SEC:E_F_SEC,gt,idpdm,ER,2,5,G08-00980,G08-00661,0,withhold,0,0,R1,R1:t_eff=3>2 (n=3<k=5),,2
A0550,adversarial,F7-diff-R2,F_SEC:E_F_SEC,gt,ungoverned,ER,2,3,G08-00980,G08-00661,1,withhold,1,0,-,no-governance,,2
A0550,adversarial,F7-diff-R2,F_SEC:E_F_SEC,gt,menu,ER,2,3,G08-00980,G08-00661,1,withhold,1,0,menu,template-level,,2
A0550,adversarial,F7-diff-R2,F_SEC:E_F_SEC,gt,abac_perm,ER,2,3,G08-00980,G08-00661,1,withhold,1,0,abac_perm,cell-open(≤2) tier-blind,,2
A0550,adversarial,F7-diff-R2,F_SEC:E_F_SEC,gt,abac_restr,ER,2,3,G08-00980,G08-00661,1,withhold,1,0,abac_restr,tier 2<=max 2,,2
A0550,adversarial,F7-diff-R2,F_SEC:E_F_SEC,gt,idpdm,ER,2,3,G08-00980,G08-00661,0,withhold,0,0,R2-diff,R2-diff vs G08-00980 (ledger),,2
A0552,adversarial,F7-diff-R1,F_SEC:E_F_SEC,gt,ungoverned,ER,2,5,G08-00982,G08-00661,1,withhold,1,0,-,no-governance,,2
A0552,adversarial,F7-diff-R1,F_SEC:E_F_SEC,gt,menu,ER,2,5,G08-00982,G08-00661,1,withhold,1,0,menu,template-level,,2
A0552,adversarial,F7-diff-R1,F_SEC:E_F_SEC,gt,abac_perm,ER,2,5,G08-00982,G08-00661,1,withhold,1,0,abac_perm,cell-open(≤2) tier-blind,,2
